collection_name,dataset_id,dataset_title,tissue,disease,tissue_general,organism
Tabula Sapiens,6d41668c-168c-4500-b06a-4674ccf3e19d,Tabula Sapiens - Liver,liver,normal,liver,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,db59611b-42de-4035-93aa-1ed39f38b467,49 years old male - Fresh PBMCs (2 days post-intubation),blood,COVID-19,blood,Homo sapiens
Tabula Muris Senis,76544818-bc5b-4a0d-87d4-40dde89545cb,Adipose tissue — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,adipose tissue,normal,adipose tissue,Mus musculus
Single-Cell Analysis of Crohn’s Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy,36c867a7-be10-4e69-9b39-5de12b0af6da,Ileum,ileum,Crohn ileitis,small intestine,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,ec423499-4564-4ab4-a7c2-316c72788ead,HTAPP-313-SMP-932 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Human Brain Cell Atlas v1.0,1a018108-b4b6-457b-ba15-046d5e98c169,Dissection: Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO,myelencephalon,normal,brain,Homo sapiens
Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569,49 years old male - Fresh PBMCs (3 days post-intubation),blood,COVID-19,blood,Homo sapiens
Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,2727d83a-0af0-443a-bff8-58dc7028289a,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: Entorhinal Cortex,entorhinal cortex,normal;Alzheimer disease,brain,Homo sapiens
Protracted Neuronal Recruitment in the Temporal Lobe of Young Children,24584be9-d3d5-49c3-a042-99c18fe324db,EC Stream Region at 14 days of age,entorhinal cortex,normal,brain,Homo sapiens
Tabula Muris Senis,6e4f871d-fd7c-4909-8c14-e4c9957c2e8f,Thymus - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,thymus,normal,endocrine gland,Mus musculus
Human Brain Cell Atlas v1.0,00476f9f-ebc1-4b72-b541-32f912ce36ea,Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma),hypothalamus,normal,brain,Homo sapiens
Tabula Muris Senis,1d29fd10-c8b3-4611-b0ac-3c578125adbf,Skin of body - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,skin of body,normal,skin of body,Mus musculus
Human Brain Cell Atlas v1.0,77044335-0ac5-4406-9b3f-8cdd3656d67b,Dissection: Pons (Pn) - afferent nuclei of cranial nerves in pons - PnAN,pons,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,adda0684-f8ea-4403-b393-2a25607077c4,Dissection: Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - medial geniculate nuclei (MG),thalamic complex,normal,brain,Homo sapiens
Tabula Muris Senis,6202a243-b713-4e12-9ced-c387f8483dea,Liver - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,liver,normal,liver,Mus musculus
A spatial human thymus cell atlas mapped to a continuous tissue axis,63b0a978-5820-4c3a-96a8-af098c1b0166,thymus scRNA-seq atlas - thymic epithelial cell subset,thymus,normal,endocrine gland,Homo sapiens
Adult mouse cortical cell taxonomy revealed by single cell transcriptomics,3a15ab1c-c36c-4842-9a3e-47e6ffd0ba6f,Adult mouse cortical cell taxonomy revealed by single cell transcriptomics,primary visual cortex,normal,brain,Mus musculus
Immune microniches shape intestinal Treg function,db83a61c-64d9-4266-bfcb-3d1469e42824,Global,mesenteric lymph node;caecum;small intestine Peyer's patch;lamina propria of small intestine,normal,lymph node;colon;small intestine,Mus musculus
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells,8fcf0ccc-67b2-43a3-90be-075f85169bef,Airway,respiratory airway,normal,respiratory system,Homo sapiens
Human Brain Cell Atlas v1.0,fbf173f9-f809-4d84-9b65-ae205d35b523,Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL,thalamic complex,normal,brain,Homo sapiens
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,b3d060c6-bbd7-4db0-9ef7-9df42475875a,Lymphoid cells,lower lobe of left lung;trachea;bronchus;upper lobe of left lung;lung,normal,lung;respiratory system,Homo sapiens
Human Brain Cell Atlas v1.0,ca20e2ac-5676-4158-b5d0-0c2b15898b19,Dissection: Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,cerebral nuclei,normal,brain,Homo sapiens
Human skeletal muscle ageing atlas,32e8a3d7-7b15-4f80-a0ff-6d2fc531e972,Immune Cells,intercostal muscle,normal,musculature,Homo sapiens
"Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin",de94c504-4b58-4f42-b68d-74a8e4892f0e,UMAP visualization of all 12 datasets,dermis;skin epidermis;skin of body,normal,skin of body,Homo sapiens
HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,6a270451-b4d9-43e0-aa89-e33aac1ac74b,VAL and DIS datasets: Non-Epithelial,transverse colon;hepatic flexure of colon;ascending colon;hepatic cecum;descending colon;rectum;sigmoid colon,tubular adenoma;normal;colon sessile serrated adenoma/polyp;tubulovillous adenoma;hyperplastic polyp;colorectal cancer,colon;intestine;large intestine,Homo sapiens
Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,d7d7e89c-c93a-422d-8958-9b4a90b69558,Activated PBMCs - Twins scRNA-seq,blood,common variable immunodeficiency;normal,blood,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,494faa16-c42d-4b66-8667-f66a3bcacb01,HTAPP-895-SMP-7359 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Tabula Muris Senis,1fe63353-9e75-4824-aa30-ed8d84be748c,Heart - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,heart,normal,heart,Mus musculus
Cell-type specific analysis of physiological action of estrogen inmouse oviducts,30f5e171-83d7-4fc0-bf75-384f122346b3,scRNA-seq data of human fallopian tube,fallopian tube,normal,fallopian tube,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,71513028-e4a0-4c62-a435-16598791690a,HTAPP-997-SMP-7789 scRNA-seq,liver,breast cancer,liver,Homo sapiens
Human breast cell atlas,24ec2dc5-3573-4d66-a9e1-25b7dcf43e27,HBCA - immune,breast,normal,breast,Homo sapiens
Persistent T cell unresponsiveness associated with chronic visceral leishmaniasis in HIV-coinfected patients,3241c34f-581a-4de3-81fe-28e3de182680,Cross-sectional,blood,normal;HIV infectious disease,blood,Homo sapiens
"Transcriptome Analysis of Archived Tumor Tissues by Visium, GeoMx DSP, and Chromium Methods Reveals Inter- and Intra-Patient Heterogeneity",fbdd8c17-b34a-4cbc-abc4-1aeaa294a538,Breast cancer 4 patients archival FFPE samples profiling with Chromium FLEX,parenchyma of mammary gland,invasive lobular breast carcinoma;invasive ductal breast carcinoma,exocrine gland,Homo sapiens
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,d9b4bc69-ed90-4f5f-99b2-61b0681ba436,B Cell/Plasmablast Sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,blood,COVID-19;normal,blood,Homo sapiens
Human Brain Cell Atlas v1.0,090da8ea-46e8-40df-bffc-1f78e1538d27,Dissection: Spinal cord - SpC,spinal cord,normal,spinal cord,Homo sapiens
Spatiotemporal immune zonation of the human kidney,08073b32-d389-41f4-a4fd-616de76915ab,Fetal kidney dataset: nephron,kidney,normal,kidney,Homo sapiens
"HTAN-CHOP - Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts in KMT2A-rearranged leukemia",738942eb-ac72-44ff-a64b-8943b5ecd8d9,Normal immune cells landscape of infant KMT2Ar B-ALL,blood,B-cell acute lymphoblastic leukemia,blood,Homo sapiens
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,9df60c57-fdf3-4e93-828e-fe9303f20438,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,cortex of kidney,normal,kidney,Homo sapiens
HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,39f6fec9-2539-4b99-982b-f12888ef649a,HTAPP-514-SMP-6760 scRNA-seq,axilla,breast cancer,axilla,Homo sapiens
Spatial multi-omic map of human myocardial infarction,f15e263b-6544-46cb-a46e-e33ab7ce8347,Ischemia-snRNA-Spatial multi-omic map of human myocardial infarction,heart left ventricle,myocardial infarction,heart,Homo sapiens
Human Brain Cell Atlas v1.0,03d38670-1444-4001-bc53-9936e61d9b20,"Dissection: Hypothalamus (HTH) - preoptic region of HTH - HTHpo (medial preoptic nucleus, MPN) - supraoptic region of HTH - HTHso (paraventricular nucleus, PV)",hypothalamus,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,a59ba9fa-1407-4f15-8c56-d3637421570d,Dissection: Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,cerebellum,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,22658f4f-9268-41ad-8828-cc53f4baa9fa,Dissection: Hypothalamus (HTH) - supraoptic region of HTH - HTHso,hypothalamus,normal,brain,Homo sapiens
Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,5ba85070-a41c-4184-9c18-cf34c3fd0f62,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,peripheral zone of prostate;transition zone of prostate,normal;benign prostatic hyperplasia,prostate gland,Homo sapiens
Human skeletal muscle ageing atlas,f854421b-d231-4231-9b23-fc3be7fbee45,Endothelium and SMC,intercostal muscle,normal,musculature,Homo sapiens
Human Brain Cell Atlas v1.0,2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,Dissection: Amygdaloid complex (AMY) - Corticomedial nuclear group (CMN) - anterior cortical nucleus - CoA,cerebral nuclei,normal,brain,Homo sapiens
Tabula Muris Senis,66ff82b4-9380-469c-bc4b-cfa08eacd325,Brain non-myeloid cells - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,brain,normal,brain,Mus musculus
Blood and immune development in human fetal bone marrow and Down syndrome,343ff97c-85df-494b-8400-beb937618611,Human Fetal Bone Marrow (CITE-seq),bone marrow,normal,bone marrow,Homo sapiens
A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,e8a11a27-9c47-4673-b65d-11b9cd6065e1,Epithelium (no cilium),lung,normal,lung,Homo sapiens
A single-cell and spatially resolved atlas of human breast cancers,933497dc-7592-4532-9056-b9941547b3ac,A single-cell and spatially-resolved atlas of human breast cancers - T_cells,breast,invasive ductal breast carcinoma;breast carcinoma;invasive lobular breast carcinoma,breast,Homo sapiens
Single-cell roadmap of human gonadal development,5695d556-974e-4d92-9e99-5f61b8695313,Mouse Germ Cells,gonad;mesonephros;ovary;gonad primordium;testis;mesoderm,normal,reproductive system;kidney;ovary;testis;embryo,Mus musculus
Tabula Muris Senis,7c6091da-4606-44c7-a2c4-ef896de09e28,Mammary gland - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,mammary gland,normal,exocrine gland,Mus musculus
Single-cell transcriptomics reveals gene expression dynamics of human fetal kidney development,8dc29642-be06-46dc-a289-8075915745d4,Cells of the human fetal kidney,kidney,normal,kidney,Homo sapiens
Human Brain Cell Atlas v1.0,40569510-2282-461b-84df-6218ef208e0e,Dissection: Hypothalamus (HTH) - tuberal region of hypothalamus - HTHtub,hypothalamus,normal,brain,Homo sapiens
Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas,be884a28-0eac-4eca-9c23-1294a93cf56e,Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas,cerebellum,normal;pilocytic astrocytoma,brain,Homo sapiens
Human Brain Cell Atlas v1.0,b8681124-aabf-4904-b9c9-66d834bf5bba,Dissection: Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,thalamic complex,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,381aa407-317a-40ef-8048-7ce0eacc4266,Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP,thalamic complex,normal,brain,Homo sapiens
An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types,1304e107-0f06-4d33-b634-d95ed986d02b,An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types: SMARTer_nuclei_MOp,primary motor cortex,normal,brain,Mus musculus
A molecular cell atlas of the human lung from single cell RNA sequencing,e04daea4-4412-45b5-989e-76a9be070a89,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",lung;blood,normal,lung;blood,Homo sapiens
Human Brain Cell Atlas v1.0,35c8a04c-8639-4d15-8228-765d8d93fc96,"Dissection: Hypothalamus (HTH) - supraoptic region of HTH - HTHso (anterior hypothalamic nucleus, AHN) - tuberal region of HTH - HTHtub (ventromedial and dorsomedial hypothalamic nucleic nuclei, VMH, DMH)",hypothalamus,normal,brain,Homo sapiens
A single-cell transcriptome atlas of the adult human retina,d5c67a4e-a8d9-456d-a273-fa01adb1b308,Retina,retina,normal;cataract,eye,Homo sapiens
Single-cell roadmap of human gonadal development,290d50c7-7158-4198-acf5-6d4b624fd3dc,Human Germ Cells,gonad,normal,reproductive system,Homo sapiens
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,6cf3634d-e911-44ad-bf52-c747a9af3c01,colon stromal,lamina propria of mucosa of colon;colonic epithelium;colon;sigmoid colon;right colon;transverse colon;left colon;caecum,Crohn disease;normal,colon,Homo sapiens
Spatiotemporal immune zonation of the human kidney,9ea768a2-87ab-46b6-a73d-c4e915f25af3,Mature kidney dataset: full,cortex of kidney;kidney;renal medulla;renal pelvis;kidney blood vessel,normal,kidney,Homo sapiens
Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,d1cbed97-d88f-4954-8925-13302fe30b39,CD45 negative cells from human liver dataset,liver,normal,liver,Homo sapiens
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,e2a3c32d-71e2-4f38-b19c-dfcb8729cf46,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Epithelial Cells,peripheral zone of prostate;transition zone of prostate,normal,prostate gland,Homo sapiens
Human skeletal muscle ageing atlas,1851b6ab-2386-40a1-8c2a-b7cd895b889e,Fibroblasts and Schwann cells,intercostal muscle,normal,musculature,Homo sapiens
Human Brain Cell Atlas v1.0,07b1d7c8-5c2e-42f7-9246-26f746cd6013,Dissection: Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN,myelencephalon,normal,brain,Homo sapiens
Tabula Sapiens,0041b9c3-6a49-4bf7-8514-9bc7190067a7,Tabula Sapiens - Skin,skin of body,normal,skin of body,Homo sapiens
Exploring the Utility of snRNA-seq in Profiling Human Bladder Tissue: A Comprehensive Comparison with scRNA-seq,2dd9d7a2-4bee-4c3f-a1f5-89bc3271c4f0,Adult bladder stromal subset,urinary bladder,normal,urinary bladder,Homo sapiens
Human Brain Cell Atlas v1.0,64767efb-49b0-4562-a1bd-e619a5d9db41,Dissection: Hypothalamus (HTH) - preoptic region of HTH - HTHpo,hypothalamus,normal,brain,Homo sapiens
Tabula Sapiens,6ec405bb-4727-4c6d-ab4e-01fe489af7ea,Tabula Sapiens - Uterus,endometrium,normal,uterus,Homo sapiens
Single cell dissection of plasma cell heterogeneity in symptomatic and asymptomatic myeloma,e22482ee-19e8-40bc-9f6e-541dc3c82c20,All cells,bone marrow,normal;plasma cell myeloma,bone marrow,Homo sapiens
Human Brain Cell Atlas v1.0,f20f44ef-a0d4-4d94-87de-037fd47141f0,Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma) - tuberal region of HTH - HTHtub,hypothalamus,normal,brain,Homo sapiens
A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,055ca631-6ffb-40de-815e-b931e10718c0,Individual Single-Cell RNA-seq PBMC Data from Wilk et al.,blood,normal;COVID-19,blood,Homo sapiens
Integrative single-cell multi-omics of CD19-CARpos and CARneg T cells suggest drivers of immunotherapy response in B-ALL,460dfe21-0550-4521-92fe-db0f3036d8b0,CD19-CARpos and CARneg T cells,blood,B-cell acute lymphoblastic leukemia,blood,Homo sapiens
Single-cell transcriptomic analysis of gingivo-buccal oral cancer reveals two dominant cellular programs,55ca4411-8c7d-4aef-a572-50852e030c05,ALL- Cells of gingivo-buccal oral squamous cell carcinoma,oral cavity,oral cavity squamous cell carcinoma,digestive system,Homo sapiens
Tabula Muris Senis,1efd4700-87dd-4b45-8762-11ba3fea7a65,Heart - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2,heart,normal,heart,Mus musculus
Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,8e47ed12-c658-4252-b126-381df8d52a3d,Paediatric Human Gut (4-14y),ileum,Crohn disease;normal,small intestine,Homo sapiens
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,482954b2-0456-4901-b379-b62f99c0ab2d,Human tonsil B cells scRNA,tonsil,normal,immune system,Homo sapiens
Human Brain Cell Atlas v1.0,c4dd26a8-d956-4bee-a233-44b573f2ce27,Dissection: Body of hippocampus (HiB) - Rostral CA1-2,hippocampal formation,normal,brain,Homo sapiens
Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,456e8b9b-f872-488b-871d-94534090a865,Single-cell atlas of peripheral immune response to SARS-CoV-2 infection,blood,COVID-19;normal,blood,Homo sapiens
Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,4dd00779-7f73-4f50-89bb-e2d3c6b71b18,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,colonic epithelium,normal,colon,Homo sapiens
A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,c3fe3c1e-5bf8-4678-b74a-79899243ad41,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - All Human Cells,peripheral zone of prostate;transition zone of prostate,normal,prostate gland,Homo sapiens
Human Brain Cell Atlas v1.0,bac09168-940b-4b11-8d55-b4955f80b98d,Dissection: Head of hippocampus (HiH) - Uncal CA2-CA3,hippocampal formation,normal,brain,Homo sapiens
A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing,d1207c81-7309-43a7-a5a0-f4283670b62b,Ovary RNA,ovary,normal,ovary,Homo sapiens
Blood and immune development in human fetal bone marrow and Down syndrome,86282760-5099-4c71-8cdd-412dcbbbd0b9,Fetal Bone Marrow (10x) - Down Syndrome,bone marrow,Down syndrome,bone marrow,Homo sapiens
Human Brain Cell Atlas v1.0,f3565fda-499a-4d20-bd92-563c09954c42,Dissection: Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB,pons,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,f9034091-2e8f-4ac6-9874-e7b7eb566824,Dissection: Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN,myelencephalon,normal,brain,Homo sapiens
Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,105c7dad-0468-4628-a5be-2bb42c6a8ae4,mature,cortex of kidney;kidney;renal medulla;renal pelvis;kidney blood vessel,normal,kidney,Homo sapiens
Tabula Sapiens,2423ce2c-3149-4cca-a2ff-cf682ea29b5f,Tabula Sapiens - Kidney,kidney,normal,kidney,Homo sapiens
"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",be39785b-67cb-4177-be19-a40ee3747e45,"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",kidney,clear cell renal carcinoma,kidney,Homo sapiens
Tabula Sapiens,a357414d-2042-4eb5-95f0-c58604a18bdd,Tabula Sapiens - Small_Intestine,small intestine,normal,small intestine,Homo sapiens
Human Brain Cell Atlas v1.0,7cd3c321-e487-4b51-a8af-9bf671b59fe5,Dissection: Pons (Pn) - other nuclei in pontine tegmentum (XPnTg) - dorsal tegmental nucleus - DTg,pons,normal,brain,Homo sapiens
Human Brain Cell Atlas v1.0,c7856243-c59a-4b70-8ce7-25b94c2d9da1,Dissection: Cerebral cortex (Cx) - Gyrus rectus (ReG) - Medial orbitofrontal cortex - A14,cerebral cortex,normal,brain,Homo sapiens
A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,e871881f-b42d-4500-906d-0972a14ba47d,Fibroblasts,lower lobe of left lung;trachea;bronchus;upper lobe of left lung;lung,normal,lung;respiratory system,Homo sapiens
Cells of the adult human heart,ed852810-a003-4386-9846-1638362cee39,Immune — Cells of the adult human heart,apex of heart;left cardiac atrium;heart left ventricle;right cardiac atrium;heart right ventricle;interventricular septum,normal,heart,Homo sapiens
Tabula Sapiens,7357cee7-9f7f-4ab0-8cec-90de8f047e38,Tabula Sapiens - Large_Intestine,large intestine,normal,large intestine,Homo sapiens
Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: Superior frontal gyrus,superior frontal gyrus,normal;Alzheimer disease,brain,Homo sapiens
Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,babbf9f3-f482-45a5-ba76-c41f4c2f503e,Fovea - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,fovea centralis,normal,eye,Homo sapiens
Tabula Sapiens,d8732da6-8d1d-42d9-b625-f2416c30054b,Tabula Sapiens - Trachea,trachea,normal,respiratory system,Homo sapiens
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,88c483bf-477d-4be5-90d3-4fb101dd601f,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells,peripheral zone of prostate;transition zone of prostate,normal;benign prostatic hyperplasia,prostate gland,Homo sapiens
A single-cell atlas of human and mouse white adipose tissue,2a156c92-c62f-4a51-b340-9df09caa589c,A Single-Cell Atlas of Human White Adipose Tissue - Human immune cells,omental fat pad;subcutaneous adipose tissue,normal,adipose tissue,Homo sapiens
Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity,d18736c3-6292-4379-919a-d6d973204c87,Single-cell RNA-seq analysis reveals cell subsets and gene signatures associated with Rheumatoid Arthritis Disease Activity,blood,rheumatoid arthritis;normal,blood,Homo sapiens
COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,1a434263-2aa5-4fd9-a1f3-1c4a2a8fb771,"M cells -- CV19 infection, vaccination and HC",blood,normal;COVID-19,blood,Homo sapiens
Emphysema Cell Atlas,4b6af54a-4a21-46e0-bc8d-673c0561a836,non-immune cells,alveolus of lung,normal;pulmonary emphysema,lung,Homo sapiens
Tabula Sapiens,2ba40233-8576-4dec-a5f1-2adfa115e2dc,Tabula Sapiens - Mammary,mammary gland,normal,exocrine gland,Homo sapiens
Human Brain Cell Atlas v1.0,a7b4f565-691d-43ea-bf4a-d2d1d52bb4b4,Dissection: Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN,thalamic complex,normal,brain,Homo sapiens
Tabula Muris Senis,2491629a-bde0-46ad-a073-e34fcb516857,Large intestine - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x,large intestine,normal,large intestine,Mus musculus
Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,44882825-0da1-4547-b721-2c6105d4a9d1,Human tonsil complete integrated cell set scRNA,tonsil,normal,immune system,Homo sapiens
The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon,0f4865d5-8000-4f68-8ac7-f5efea9e5e70,TI stromal,lamina propria of small intestine;small intestine;ileum;ileal epithelium,Crohn disease;normal,small intestine,Homo sapiens
Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,d3a83885-5198-4b04-8314-b753b66ef9a8,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Leukocyte Cells,peripheral zone of prostate;transition zone of prostate,normal;benign prostatic hyperplasia,prostate gland,Homo sapiens
Spatiotemporal analysis of human intestinal development at single-cell resolution,fd89be61-2869-4342-a86e-e1fce3a8f269,Spatiotemporal analysis of human intestinal development at single-cell resolution: Epithelium,ileum;colon;hindgut,normal,small intestine;colon;digestive system,Homo sapiens
Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19,13b61a7d-5605-4948-ba48-02c588960143,Nasopharynx,nasopharynx,normal;COVID-19;respiratory failure;long COVID-19,digestive system,Homo sapiens
Tabula Sapiens,4f1555bc-4664-46c3-a606-78d34dd10d92,Tabula Sapiens - Bone_Marrow,bone marrow,normal,bone marrow,Homo sapiens
Human photoreceptor cells from different macular subregions have distinct transcriptional profiles,f5be9ed2-5d41-4a52-91e4-4ff24ff84900,scRNA-seq of foveal and parafoveal retina,fovea centralis;perifoveal part of retina,normal;macular degeneration,eye,Homo sapiens
Single-cell and spatial mapping Identify cell types and signaling Networks in the human ureter,12c3efd8-d515-42e6-b93c-4961e599d524,Adult ureter trio,ureter,normal,ureter,Homo sapiens
Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,dfdf1ae2-d624-4004-9353-f18b902f6bca,Myeloid cells from human liver dataset,liver,normal,liver,Homo sapiens
Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,de2c780c-1747-40bd-9ccf-9588ec186cee,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,blood,COVID-19;normal;influenza,blood,Homo sapiens
Human Brain Cell Atlas v1.0,a84face4-eb30-4f43-994f-c6a13a097808,"Dissection: Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30",cerebral cortex,normal,brain,Homo sapiens
Distinct microbial and immune niches of the human colon,2872f4b0-b171-46e2-abc6-befcf6de6306,Colon,caecum;transverse colon;sigmoid colon;mesenteric lymph node,normal,colon;lymph node,Homo sapiens
Human Brain Cell Atlas v1.0,a4116666-d295-4443-a174-0acc283f92c4,Dissection: Midbrain (M) - Superior colliculus and nearby nuclei - SC,midbrain,normal,brain,Homo sapiens
Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,a5ab6cde-46d4-4667-9b32-cfce54fa7a4e,Epithelial cells collected from 30 segments across the proximal (1) to distal (30) ends of the mouse small intestine.,small intestine,normal,small intestine,Mus musculus
Human Brain Cell Atlas v1.0,4d43082e-59cd-43ac-b77d-54d55519c881,Dissection: Cerebral cortex (Cx) - Rostral gyrus (RoG) - Dorsal division of MFC - A32,cerebral cortex,normal,brain,Homo sapiens
Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,ccfdcad0-7104-46b9-addf-fd66a2a15907,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,pigment epithelium of eye;retina,normal,eye,Homo sapiens
